,date,close_price,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P
0,2017-01-03,2.3065,0.162428,0.162428,0.165379,0.165379,0.17319500000000002,0.17319500000000002,0.178055,0.178055
1,2017-01-04,2.3245,0.15173,0.15173,0.15495499999999998,0.15495499999999998,0.164443,0.164443,0.173767,0.173767
2,2017-01-05,2.3215,0.14682,0.14682,0.152327,0.152327,0.163909,0.163909,0.174529,0.174529
3,2017-01-06,2.3135,0.144083,0.144083,0.149555,0.149555,0.164911,0.164911,0.177799,0.177799
4,2017-01-09,2.3195,0.13828800000000002,0.13828800000000002,0.146575,0.146575,0.157315,0.157315,0.17255299999999998,0.17255299999999998
5,2017-01-10,2.3125,0.132996,0.132996,0.142302,0.142302,0.15465399999999999,0.15465399999999999,0.168877,0.168877
6,2017-01-11,2.3035,0.13247899999999999,0.13247899999999999,0.140259,0.140259,0.15281199999999998,0.15281199999999998,0.16652,0.16652
7,2017-01-12,2.2955,0.129687,0.129687,0.13796,0.13796,0.150153,0.150153,0.164017,0.164017
8,2017-01-13,2.3105,0.12465599999999999,0.12465599999999999,0.135983,0.135983,0.150284,0.150284,0.159651,0.159651
9,2017-01-16,2.3385,0.138211,0.138211,0.135956,0.135956,0.156443,0.156443,0.163888,0.163888
10,2017-01-17,2.3285,0.119031,0.119031,0.123118,0.123118,0.149122,0.149122,0.16084400000000001,0.16084400000000001
11,2017-01-18,2.3445,0.11583399999999999,0.11583399999999999,0.11986600000000001,0.11986600000000001,0.144703,0.144703,0.15881900000000002,0.15881900000000002
12,2017-01-19,2.3345,0.108392,0.108392,0.11833199999999999,0.11833199999999999,0.14085799999999998,0.14085799999999998,0.156139,0.156139
13,2017-01-20,2.3495,0.103377,0.103377,0.117176,0.117176,0.14165999999999998,0.14165999999999998,0.160423,0.160423
14,2017-01-23,2.3485,0.105984,0.105984,0.11178099999999999,0.11178099999999999,0.137471,0.137471,0.152544,0.152544
15,2017-01-24,2.3535,0.10016,0.10016,0.109305,0.109305,0.133271,0.133271,0.145761,0.145761
16,2017-01-25,2.3684,0.123918,0.123918,0.10820999999999999,0.10820999999999999,0.132847,0.132847,0.144006,0.144006
17,2017-01-26,2.3665,0.104774,0.104774,0.12049000000000001,0.12049000000000001,0.13559200000000002,0.13559200000000002,0.139856,0.139856
18,2017-02-03,2.3415,0.106467,0.106467,0.118826,0.118826,0.1353,0.1353,0.139996,0.139996
19,2017-02-06,2.3425,0.106769,0.106769,0.116319,0.116319,0.13164800000000002,0.13164800000000002,0.136372,0.136372
20,2017-02-07,2.3355,0.105101,0.105101,0.114856,0.114856,0.126339,0.126339,0.134246,0.134246
21,2017-02-08,2.3485,0.10675799999999999,0.10675799999999999,0.11100499999999999,0.11100499999999999,0.12438900000000001,0.12438900000000001,0.133088,0.133088
22,2017-02-09,2.3545,0.105813,0.105813,0.11496400000000001,0.11496400000000001,0.128224,0.128224,0.13486700000000001,0.13486700000000001
23,2017-02-10,2.3665,0.10234299999999999,0.10234299999999999,0.118228,0.118228,0.13095299999999999,0.13095299999999999,0.138185,0.138185
24,2017-02-13,2.3775,0.108188,0.108188,0.11315499999999999,0.11315499999999999,0.130131,0.130131,0.135079,0.135079
25,2017-02-14,2.3695,0.104149,0.104149,0.108752,0.108752,0.127602,0.127602,0.13168,0.13168
26,2017-02-15,2.3695,0.0956341,0.0956341,0.101663,0.101663,0.124367,0.124367,0.128832,0.128832
27,2017-02-16,2.3725,0.0988083,0.0988083,0.104548,0.104548,0.124454,0.124454,0.130189,0.130189
28,2017-02-17,2.3615,0.106901,0.106901,0.108714,0.108714,0.130347,0.130347,0.134713,0.134713
29,2017-02-20,2.3955,0.137694,0.137694,0.11531300000000001,0.11531300000000001,0.131838,0.131838,0.13806300000000002,0.13806300000000002
30,2017-02-21,2.3925,0.100119,0.100119,0.119453,0.119453,0.135702,0.135702,0.141256,0.141256
31,2017-02-22,2.396,0.37701,0.37701,0.114149,0.114149,0.137079,0.137079,0.143433,0.143433
