,optionCode,callorput,maturityDate,multi,netPositionToday,deltaToday,gammaToday,vegaToday,thetaToday,closingPriceTodayUnderlyer,volToday,deltaNotionalToday,deltaSensOfVolToday,vegaNotionalToday,gammaNotionalToday,thetaNotionalToday,rohToday,robToday,rhoNotionalToday,robNotionalToday,brBase,BR,RF,StrategyID
95,10001118.0,1.0,737238.0,10000.0,24.0,0.723856,0.954654,0.00672553,-0.229698,3.0738,0.174113,173725.44,-0.9220054995406901,1614.1272000000001,229116.96,-55127.520000000004,0.0384539,-0.851273,25.284756164383563,-559.7411506849314,0.428251,1.04643e-05,0.0469913,1.0
96,10001119.0,1.0,737238.0,10000.0,34.0,0.673247,1.03628,0.00725562,-0.233807,3.0738,0.17304,228903.98,-0.6992542459682838,2466.9108,352335.20000000007,-79494.38,-0.0294652,-0.869491,-27.44703561643836,-809.9368219178082,0.428251,1.04643e-05,0.0469913,1.0
97,10001120.0,0.0,737238.0,10000.0,-15.0,-0.155362,0.653279,0.00480059,-0.0778844,3.0738,0.181613,23304.3,-1.175512929031397,-720.0885000000002,-97991.85000000002,11682.66,-0.911904,-0.623562,374.7550684931507,256.25835616438354,0.428251,1.04643e-05,0.0469913,1.0
98,10001121.0,0.0,737238.0,10000.0,-37.0,-0.189872,0.756018,0.00545631,-0.0843465,3.0738,0.178368,70252.64000000001,-1.157777817293315,-2018.8346999999999,-279726.66,31208.205,-1.00999,-0.677841,1023.8254794520548,687.126493150685,0.428251,1.04643e-05,0.0469913,1.0
99,10001122.0,0.0,737238.0,10000.0,0.0,-0.23024,0.858791,0.0061115,-0.089889,3.0738,0.175878,0.0,-1.0756142457746254,0.0,0.0,0.0,-1.1064,-0.728013,0.0,0.0,0.428251,1.04643e-05,0.0469913,1.0
100,10001123.0,0.0,737238.0,10000.0,-11.0,-0.276139,0.954654,0.00672553,-0.0938674,3.0738,0.174113,30375.29,-0.9220054995406901,-739.8082999999999,-105011.94,10325.413999999999,-1.19969,-0.773094,361.5504109589041,232.9872328767123,0.428251,1.04643e-05,0.0469913,1.0
101,10001124.0,0.0,737238.0,10000.0,-58.0,-0.326749,1.03628,0.00725562,-0.0956741,3.0738,0.17304,189514.42,-0.6992542459682838,-4208.2596,-601042.4,55490.978,-1.28859,-0.812297,2047.6224657534244,1290.7733150684933,0.428251,1.04643e-05,0.0469913,1.0
102,10001127.0,1.0,737084.0,10000.0,-975.0,0.992432,0.122912,7.09231e-05,0.129845,3.0738,0.318785,-9676212.0,-0.12952148095157767,-691.500225,-1198392.0,-1265988.75,0.0516084,-0.00713863,-1378.5805479452056,190.68943150684933,0.0191578,0.0887571,0.03,1.0
103,10001128.0,0.0,737084.0,10000.0,520.0,-0.00586905,0.122912,7.09231e-05,-0.0600602,3.0738,0.318785,-30519.059999999998,-0.12952148095157767,368.80012000000005,639142.4,-312313.04000000004,-0.0010451,-0.00100513,-14.889095890410958,-14.319660273972598,0.0191578,0.0887571,0.03,1.0
104,10001129.0,1.0,737147.0,10000.0,-271.0,0.929725,0.520427,0.00178239,-0.218255,3.0738,0.195525,-2519554.75,-0.9570944718129137,-4830.2769,-1410357.1700000002,591471.05,0.167712,-0.333648,-1245.2041643835616,2477.2221369863014,0.185391,0.0,0.049697,1.0
105,10001130.0,0.0,737147.0,10000.0,344.0,-0.0702751,0.520427,0.00178239,-0.0828421,3.0738,0.195525,-241746.34399999998,-0.9570944718129137,6131.4216,1790268.88,-284976.824,-0.337434,-0.268943,-3180.1998904109587,-2534.6956712328765,0.185391,0.0,0.049697,1.0
106,10001131.0,1.0,737238.0,10000.0,26.0,0.87341,0.556158,0.00417735,-0.197709,3.0738,0.185632,227086.6,-1.1421471379802206,1086.1109999999999,144601.08000000002,-51404.34,0.340513,-0.728446,242.55720547945208,-518.8930410958905,0.428251,1.04643e-05,0.0469913,1.0
107,10001132.0,0.0,737238.0,10000.0,-43.0,-0.126586,0.556158,0.00417735,-0.07109,3.0738,0.185632,54431.979999999996,-1.1421471379802206,-1796.2604999999999,-239147.94,30568.7,-0.813689,-0.566324,958.5925205479452,667.1762191780822,0.428251,1.04643e-05,0.0469913,1.0
