,date,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P
0,2017-01-03,-0.7669814572624981,-0.7698515900472241,-0.7360547384507872,-0.7152185916245927,-0.6262619752716089,-0.664787715199817,-0.6204860065508365,-0.6081619843652718
1,2017-01-04,-0.8843745653130561,-0.8309683241699748,-0.5807196958553845,-0.608324955313744,-0.594399045100187,-0.6055774612543895,-0.5930228900015768,-0.5748928122819784
2,2017-01-05,-0.12114351367425737,0.020769715181582132,0.32383734100042844,0.3640435065986468,0.2678537611420324,0.25030570677449626,0.02301400683244686,0.07254044023319799
3,2017-01-06,0.32618710587062716,0.410148826318729,0.7235031709486744,0.7335811346241248,0.16713170048331358,0.4183547110528475,-0.5657018058788755,-0.5884156727043103
4,2017-01-09,-0.6937823091775673,-0.7165614468396737,-0.06314482837367587,-0.3599884462788216,-0.5482616748393123,-0.5362540797228104,-0.6490139528741046,-0.6748936726198005
5,2017-01-10,0.2749044058774907,0.11747287469872067,0.14707224561166884,0.16171978192880324,0.07879126865023205,0.039964414981328376,0.10011731798672013,0.14314318821096436
6,2017-01-11,0.27339655898519816,0.2946338876620128,0.4453410734435907,0.5383970000157166,0.6869363985719812,0.6969330392477512,0.7149938573275967,0.6884567201447017
7,2017-01-12,0.6936253443301247,0.6858158703441765,0.724990483638033,0.8045582698980134,0.711732881584218,0.6852452178760996,0.6068114873326202,0.5806788756526566
8,2017-01-13,-0.5358004700864065,-0.7232912494239461,-0.4790123032375107,-0.516133380152415,-0.1468305234432773,-0.14163413679596892,-0.759619308043938,-0.7355797994621859
9,2017-01-16,-0.35903382904397446,0.07073866430220115,-0.2023805155385085,-0.18078450340210017,0.23371073705078266,0.11894020082182398,0.4085594124713671,0.3616084962928574
10,2017-01-17,-0.47384541595742957,-0.45272234928774,-0.40475897545008876,-0.4231950719375422,-0.42011609653464893,-0.4268817536133797,-0.24852472139478318,-0.3368426975236069
11,2017-01-18,0.13067440109529915,-0.00806502683788775,-0.5025628549009107,-0.33978696040096595,-0.7655603798510991,-0.7241339947899862,-0.570840878934952,-0.6255856694184208
12,2017-01-19,0.63917995470492,0.6900440003037095,0.2887624779058776,0.38308473131040777,0.6786810003322272,0.6570332049477183,0.2876200062925084,0.14691934454080519
13,2017-01-20,-0.7853321129652727,-0.8103570349759541,-0.7891211081606777,-0.7986876337201356,-0.46919915685973024,-0.6312889341919035,0.5516960518419652,0.5390247422715868
14,2017-01-23,0.3614378920956248,0.5629904292218115,0.8500375369776864,0.7356332780408548,0.6244198747516443,0.5162865191395356,0.7837128899978135,0.7605535189964283
15,2017-01-24,-0.7477059438166017,-0.8019628420412123,-0.5993683627926724,-0.7244990178556417,-0.7852209952372732,-0.7691249676183042,-0.7318873019157575,-0.7726856495071427
16,2017-01-25,0.053601332260574314,-0.03822743528222318,-0.7523351169520086,-0.7173114657671932,-0.42638888318594564,-0.6846771514290443,-0.8239600970323919,-0.8215656196366433
17,2017-01-26,-0.6519853570813782,-0.4406042333786082,-0.3788125833180882,-0.309483280751429,-0.5682718765785915,-0.55953110552746,-0.04645097642353668,-0.25098204095092214
18,2017-02-03,0.6723438687451362,0.6950921169774857,0.7777745498915037,0.7637670985602724,0.827134668422398,0.844106857706547,0.326827231329563,0.2370578122455026
19,2017-02-06,0.1680215689849272,0.1487807798334799,0.6138937835820026,0.6159878387450817,0.5984777505721783,0.6632959590434749,0.660660924091952,0.6735434755487595
20,2017-02-07,0.1666897769954918,0.13959252103358163,-0.08871689037624644,-0.35809647844509007,0.754950182127618,0.766925370211008,0.7668386776514695,0.7517360828089922
21,2017-02-08,-0.5807184566291285,-0.6086788122752101,0.5970535722163856,0.5416160181541642,0.24434928084316257,0.18176498695681373,0.11292057390683095,0.05699063889414818
22,2017-02-09,-0.4586438404884676,-0.16147937077194788,-0.2852560277542893,-0.22241314598814393,0.6412439195712775,0.7584711628127432,0.8221856090194217,0.8828668247684706
23,2017-02-10,0.44790428652276404,0.4120682337486003,0.5856909623506104,0.709652816418151,0.32143311847951717,0.02439980420569615,0.24889855834609936,0.5909295566435018
24,2017-02-13,-0.4987441036801143,-0.37234274942076195,-0.6613945651568116,-0.7208051442626998,-0.39931348534826716,-0.4316146638613662,-0.34995880746118935,-0.3776718601667274
25,2017-02-14,0.7921996786662698,0.6732683330801034,0.7802255528321632,0.8010148348410204,0.789394906239835,0.6795350755307592,0.56611828374316,0.6621858420126425
26,2017-02-15,-0.1028664824180762,-0.09318274986469324,0.2946099575366262,0.14911762828442168,-0.269578308987303,-0.42029462331335843,-0.11718716656439424,-0.13243131005385675
27,2017-02-16,0.12179289349987492,0.17934094221550154,0.13008733847059442,0.2281695254167258,-0.24028152324122617,-0.24468720628709484,-0.11540563361439127,-0.15364054787535042
28,2017-02-17,0.8014659058424847,0.8040826485793613,-0.09977817509279548,-0.41997553003076604,-0.7880743754607116,-0.71991068900902,-0.6369065896910439,-0.6704585077161516
29,2017-02-20,-0.4452926583714146,0.7099312080363283,0.8871891937717734,0.8842534596129294,0.6503338079826606,0.5116601427344973,0.815688039775855,0.8329455803597154
