,date,cm_C,cm_P,nm_C,nm_P,cq_C,cq_P,nq_C,nq_P,etf变动,etf绝对值
42,3/9/2017,-0.637736411,-0.720563043,-0.591634585,-0.587456101,0.029585328,0.163954697,-0.010499312,-0.20563786,-0.00509446,0.00509446
43,3/10/2017,0.735401097,0.655579879,0.637362308,0.560283613,0.470282408,0.701046137,0.682970337,0.577134283,-0.003413697,0.003413697
44,3/13/2017,-0.475042887,-0.397205937,-0.615596973,-0.554574271,-0.60589955,-0.461909171,0.100997254,-0.035056345,0.008563477,0.008563477
45,3/14/2017,-0.477512258,-0.304208035,-0.689563699,-0.705791472,0.773996031,0.727772289,0.587091518,0.239117244,-0.002122692,0.002122692
46,3/15/2017,0.275016014,0.178016018,0.238897713,0.234780983,0.399117142,0.429486166,0.212968486,0.223784205,0.001276324,0.001276324
47,3/16/2017,-0.173788473,0.389328567,0.754170308,0.738704236,0.779132232,0.710662466,0.749607549,0.747464405,0.006798385,0.006798385
48,3/17/2017,0.662113322,0.677803727,0.808160571,0.801049929,0.828482946,0.782270859,0.831091299,0.839231187,-0.011394809,0.011394809
49,3/20/2017,-0.394026807,-0.202299323,0.71403353,0.714947498,0.762016873,0.679198359,0.577151549,0.007233495,0.001707577,0.001707577
50,3/21/2017,0.098939533,-0.080553129,0.179689123,0.157655822,0.269966011,0.178468202,0.219908974,0.016616169,0.002983166,0.002983166
51,3/22/2017,-0.121697853,-0.169447203,0.062758521,0.083371762,0.082358221,0.063895681,0.085725758,0.082207221,-0.007648184,0.007648184
52,3/23/2017,-0.351457606,-0.219175704,-0.240796627,-0.297770918,0.395051429,0.214523432,0.388173039,0.507664728,0.003425391,0.003425391
53,3/24/2017,-0.268946899,-0.14929973,0.422123107,0.425086148,0.384865128,0.355606191,-0.483566284,-0.365964096,0.008960956,0.008960956
54,3/27/2017,-0.682820317,-0.719055401,-0.298184763,-0.30282408,0.20011911,0.270726018,-0.579737382,-0.659270483,-0.002114612,0.002114612
55,3/28/2017,-0.887956852,-0.844601733,-0.632637942,-0.683313404,-0.529130683,-0.545827676,-0.771490836,-0.71799953,-0.002542912,0.002542912
56,3/29/2017,-0.285692453,-0.235995161,-0.062332624,0.027044527,0.116025908,0.145223908,0.282369149,0.20105379,0,0
57,3/30/2017,-0.512576681,-0.30577027,-0.69938713,-0.753824231,-0.567432504,-0.655990796,-0.7127625,-0.673599841,-0.004248991,0.004248991
58,3/31/2017,-0.889441957,-0.87044129,-0.817153586,-0.801516019,-0.632942347,-0.485520254,0.791570284,0.796794968,0.005120546,0.005120546
59,4/5/2017,-0.258100851,0.740223926,-0.076301285,-0.489641002,-0.644316277,-0.634123176,-0.209702145,-0.6445162,0.011462534,0.011462534
60,4/6/2017,-0.517367007,-0.538235545,-0.729639689,-0.702469352,-0.768759739,-0.691107501,-0.317340334,-0.409045972,0.000839454,0.000839454
61,4/7/2017,-0.250583405,-0.477207381,0.635141663,0.622528903,0.357908796,0.425915032,-0.308139348,-0.316669496,-0.000419375,0.000419375
62,4/10/2017,0.721631715,0.721400384,0.277815039,0.353423086,0.462486537,0.16199838,0.768000603,0.094594156,-0.002517306,0.002517306
63,4/11/2017,-0.81075148,-0.620903628,0.541651027,0.480119829,0.84712302,0.685114642,0.619283025,0.63318024,0.00042061,0.00042061
64,4/12/2017,-0.069740904,0.357438601,0.036888904,0.023298993,0.332442266,0.248004784,0.123699634,0.084531309,-0.002102165,0.002102165
65,4/13/2017,0.133368285,0.172169891,0.431528453,0.403502975,0.437322684,0.272000898,-0.271664234,-0.102944089,-0.002949231,0.002949231
66,4/14/2017,-0.240692685,-0.085465752,-0.808855138,-0.718210873,-0.579204031,-0.48720938,-0.648023704,-0.355945617,-0.007183604,0.007183604
