,expiry,date,strike,id,type,path,is_atm
50,20170125,20170104,2300,10000782,P,E:/Pycharm/data/option_data\20170125\20170104\2300\10000782P\10000782vols_data.csv,1
51,20170125,20170104,2350,10000783,P,E:/Pycharm/data/option_data\20170125\20170104\2350\10000783P\10000783vols_data.csv,0
52,20170125,20170104,2200,10000826,P,E:/Pycharm/data/option_data\20170125\20170104\2200\10000826P\10000826vols_data.csv,0
53,20170222,20170104,2200,10000831,C,E:/Pycharm/data/option_data\20170222\20170104\2200\10000831C\10000831vols_data.csv,0
54,20170222,20170104,2250,10000832,C,E:/Pycharm/data/option_data\20170222\20170104\2250\10000832C\10000832vols_data.csv,0
55,20170222,20170104,2300,10000833,C,E:/Pycharm/data/option_data\20170222\20170104\2300\10000833C\10000833vols_data.csv,1
56,20170222,20170104,2350,10000834,C,E:/Pycharm/data/option_data\20170222\20170104\2350\10000834C\10000834vols_data.csv,0
57,20170222,20170104,2400,10000835,C,E:/Pycharm/data/option_data\20170222\20170104\2400\10000835C\10000835vols_data.csv,0
58,20170222,20170104,2200,10000836,P,E:/Pycharm/data/option_data\20170222\20170104\2200\10000836P\10000836vols_data.csv,0
59,20170222,20170104,2250,10000837,P,E:/Pycharm/data/option_data\20170222\20170104\2250\10000837P\10000837vols_data.csv,0
60,20170222,20170104,2300,10000838,P,E:/Pycharm/data/option_data\20170222\20170104\2300\10000838P\10000838vols_data.csv,1
61,20170222,20170104,2350,10000839,P,E:/Pycharm/data/option_data\20170222\20170104\2350\10000839P\10000839vols_data.csv,0
62,20170322,20170104,2250,10000675,C,E:/Pycharm/data/option_data\20170322\20170104\2250\10000675C\10000675vols_data.csv,0
63,20170322,20170104,2300,10000787,C,E:/Pycharm/data/option_data\20170322\20170104\2300\10000787C\10000787vols_data.csv,1
64,20170322,20170104,2350,10000788,C,E:/Pycharm/data/option_data\20170322\20170104\2350\10000788C\10000788vols_data.csv,0
65,20170322,20170104,2400,10000789,C,E:/Pycharm/data/option_data\20170322\20170104\2400\10000789C\10000789vols_data.csv,0
66,20170322,20170104,2450,10000790,C,E:/Pycharm/data/option_data\20170322\20170104\2450\10000790C\10000790vols_data.csv,0
67,20170322,20170104,2500,10000791,C,E:/Pycharm/data/option_data\20170322\20170104\2500\10000791C\10000791vols_data.csv,0
68,20170322,20170104,2200,10000827,C,E:/Pycharm/data/option_data\20170322\20170104\2200\10000827C\10000827vols_data.csv,0
69,20170322,20170104,2250,10000680,P,E:/Pycharm/data/option_data\20170322\20170104\2250\10000680P\10000680vols_data.csv,0
70,20170322,20170104,2300,10000792,P,E:/Pycharm/data/option_data\20170322\20170104\2300\10000792P\10000792vols_data.csv,1
71,20170322,20170104,2350,10000793,P,E:/Pycharm/data/option_data\20170322\20170104\2350\10000793P\10000793vols_data.csv,0
72,20170322,20170104,2200,10000828,P,E:/Pycharm/data/option_data\20170322\20170104\2200\10000828P\10000828vols_data.csv,0
73,20170628,20170104,2250,10000729,C,E:/Pycharm/data/option_data\20170628\20170104\2250\10000729C\10000729vols_data.csv,0
74,20170628,20170104,2300,10000797,C,E:/Pycharm/data/option_data\20170628\20170104\2300\10000797C\10000797vols_data.csv,1
75,20170628,20170104,2350,10000798,C,E:/Pycharm/data/option_data\20170628\20170104\2350\10000798C\10000798vols_data.csv,0
76,20170628,20170104,2400,10000799,C,E:/Pycharm/data/option_data\20170628\20170104\2400\10000799C\10000799vols_data.csv,0
77,20170628,20170104,2450,10000800,C,E:/Pycharm/data/option_data\20170628\20170104\2450\10000800C\10000800vols_data.csv,0
78,20170628,20170104,2500,10000801,C,E:/Pycharm/data/option_data\20170628\20170104\2500\10000801C\10000801vols_data.csv,0
79,20170628,20170104,2200,10000829,C,E:/Pycharm/data/option_data\20170628\20170104\2200\10000829C\10000829vols_data.csv,0
80,20170628,20170104,2250,10000734,P,E:/Pycharm/data/option_data\20170628\20170104\2250\10000734P\10000734vols_data.csv,0
81,20170628,20170104,2300,10000802,P,E:/Pycharm/data/option_data\20170628\20170104\2300\10000802P\10000802vols_data.csv,1
82,20170628,20170104,2350,10000803,P,E:/Pycharm/data/option_data\20170628\20170104\2350\10000803P\10000803vols_data.csv,0
