,date,corr
0,2017-01-03,-0.6862182075184479
1,2017-01-04,-0.8782665757776575
2,2017-01-05,0.9505268822094624
3,2017-01-06,0.5000414509738591
4,2017-01-09,-0.7049752157862438
5,2017-01-10,0.08615321816396054
6,2017-01-11,0.23300723814634233
7,2017-01-12,0.64101574431816
8,2017-01-13,-0.6114911881252043
9,2017-01-16,-0.45183010289804215
10,2017-01-17,-0.49822800041842036
11,2017-01-18,0.027173952355169898
12,2017-01-19,0.7987216837892834
13,2017-01-20,-0.7914021273653007
14,2017-01-23,0.45639497123625594
15,2017-01-24,-0.779889095444752
16,2017-01-25,0.3530572463643954
17,2017-01-26,0.9049354312662434
18,2017-02-03,0.6447260793799875
19,2017-02-06,0.2041420114428164
20,2017-02-07,0.23840527466374503
21,2017-02-08,-0.2896833800271801
22,2017-02-09,-0.24811139337278185
23,2017-02-10,0.2941735159598453
24,2017-02-13,-0.1417640947202701
25,2017-02-14,0.815828575037432
26,2017-02-15,-0.11641255518751402
27,2017-02-16,0.3259709033348096
28,2017-02-17,0.6194004593116511
29,2017-02-20,-0.4632160299486117
30,2017-02-21,0.6040243599692479
31,2017-02-22,0.19993809967636297
32,2017-02-23,0.9303308056106828
33,2017-02-24,-0.08914017427324479
34,2017-02-27,0.09969733318153517
35,2017-02-28,0.9704096924877056
36,2017-03-01,0.5703575510485602
37,2017-03-02,-0.7623151870833564
38,2017-03-03,0.0627462330831729
39,2017-03-06,-0.11226775379164128
40,2017-03-07,0.6702774746626604
41,2017-03-08,-0.5852558171814953
42,2017-03-09,-0.639880645913603
43,2017-03-10,0.7377930448652316
44,2017-03-13,-0.4925074661517201
45,2017-03-14,-0.4447781684059967
46,2017-03-15,0.26538447566494794
47,2017-03-16,-0.18802616333926875
48,2017-03-17,0.6693582519864049
49,2017-03-20,-0.39516116314350885
50,2017-03-21,0.10847045884989963
51,2017-03-22,-0.08687375234318086
52,2017-03-23,0.8586973022716041
53,2017-03-24,-0.2669112025292165
54,2017-03-27,-0.6891691094730251
55,2017-03-28,-0.8877797891901116
56,2017-03-29,-0.22735906074931084
57,2017-03-30,-0.48982529813199044
58,2017-03-31,-0.8880983811961817
59,2017-04-05,-0.2627962533910055
60,2017-04-06,0.8089048037356865
61,2017-04-07,-0.2471492084100053
62,2017-04-10,0.7385519006101107
63,2017-04-11,-0.7809591460435809
64,2017-04-12,-0.04991919744056874
65,2017-04-13,0.14317297772810908
66,2017-04-14,-0.23885135237717703
67,2017-04-17,-0.16881328893268022
68,2017-04-18,-0.0367619006689944
69,2017-04-19,-0.48288507543738507
70,2017-04-20,0.5458121966466547
71,2017-04-21,0.2025484974357167
72,2017-04-24,-0.7413586003634874
73,2017-04-25,-0.3514131709792088
74,2017-04-26,-0.4550211000944419
75,2017-04-27,0.6508136772934814
76,2017-04-28,-0.7145553450525524
77,2017-05-02,0.31383365829486176
78,2017-05-03,-0.6747436341637947
79,2017-05-04,-0.6602981391891928
80,2017-05-05,0.6888056205196367
81,2017-05-08,-0.8778902742843496
82,2017-05-09,-0.7005864671805352
83,2017-05-10,-0.7159525786161051
84,2017-05-11,-0.11638030124962666
85,2017-05-12,-0.41836018840603084
86,2017-05-15,0.07380786306018766
87,2017-05-16,0.15419287472035947
88,2017-05-17,0.7304659256656253
89,2017-05-18,0.5810907027287296
90,2017-05-19,-0.05630244485306837
91,2017-05-22,0.6931398557159052
