,date,expiry,callSigma_0.1,callSigma_0.25,callSigma_0.5,putSigma_-0.5,putSigma_-0.25,putSigma_-0.1,diff_10,diff_25,diff_c_1050,diff_c_2550,diff_p_1050,diff_p_2550,etf_close,timetoexpiry
0,2017-01-03,2017-01-25,0.1756554961210704,0.1664873749075232,0.16223043477790025,0.16246791414661618,0.16243396020884704,0.1647485166208607,-0.06209301582395158,-0.024346679145656858,0.08275303805694398,0.026240083344724153,0.014037248439014471,-0.0002089885744363176,2.3065,1
1,2017-01-03,2017-02-22,0.180480643224509,0.17541218231141156,0.16581686182113256,0.16601708196822268,0.1607214106176157,0.15697837509384754,-0.13022043644550726,-0.08375000812494968,0.08843359621167068,0.057866976765182786,-0.05444443889277149,-0.031898352192581206,2.3065,2
2,2017-01-03,2017-03-22,0.2010694502214723,0.18640482250580045,0.1742340698139057,0.1745611006012863,0.16778768227079127,0.16489679846630803,-0.1799012814493754,-0.09987477783430128,0.15401913320528335,0.06985288643543691,-0.05536343493303485,-0.038802564300772474,2.3065,3
3,2017-01-03,2017-06-28,0.20211233911908144,0.19348075815060864,0.17996708965784697,0.18009434611894867,0.16883183116737308,0.16207852608976342,-0.19807703579013414,-0.12739730409805625,0.12305166185293641,0.07508966510740285,-0.10003545595643612,-0.06253674917777227,2.3065,4
4,2017-01-04,2017-01-25,0.16379016504620933,0.1532636898431916,0.1502087267334043,0.14978672997656167,0.1542867153033678,0.16199749028768734,-0.010944947506562623,0.006674936909210993,0.09041710563800893,0.020338120002903477,0.08152097527622362,0.030042616775933825,2.3245,1
5,2017-01-04,2017-02-22,0.17035554616137452,0.16566600723140495,0.1571372402814746,0.156395020445169,0.15219698952645644,0.14970240051568368,-0.1212355342169284,-0.08130224135923536,0.08411949870204169,0.05427591151946578,-0.04279304999887588,-0.026842484541791212,2.3245,2
6,2017-01-04,2017-03-22,0.18820349309179318,0.17769664418287476,0.1668498526053616,0.16732699471522944,0.15904089226064008,0.1544983176824795,-0.17908900018595575,-0.1049865179391643,0.12798117680653806,0.06500929673080585,-0.07666830480391285,-0.04952041640795206,2.3245,3
7,2017-01-04,2017-06-28,0.1937225334988046,0.1869579832825361,0.17600631604597963,0.1760870932664573,0.1671110937852243,0.16235190590862925,-0.16193587304271417,-0.10615695114403667,0.10065671420676074,0.06222314904708005,-0.07800223800073632,-0.05097477228299981,2.3245,4
8,2017-01-05,2017-01-25,0.16280472959496126,0.14874461033032224,0.1465086579144207,0.14653781337477081,0.14999208319851473,0.1582859287767237,-0.0277559554288121,0.008386676098193971,0.11122941068820315,0.015261571894321927,0.08017122087052751,0.023572549256686483,2.3215,1
9,2017-01-05,2017-02-22,0.16341215254959168,0.15854134557052502,0.15299496670451698,0.15288151749135537,0.15114313055279735,0.15002544950189647,-0.08191987461662414,-0.04666426282118735,0.06808842192301445,0.03625203485759041,-0.01868157797178059,-0.01137081163951891,2.3215,2
10,2017-01-05,2017-03-22,0.18600493228727416,0.17600654215705988,0.16611819577714787,0.16621080834238483,0.15900445447924252,0.1557815848506919,-0.16248680647835723,-0.09659918017504998,0.11971437816965515,0.05952596784266487,-0.06274696330342919,-0.04335671028262871,2.3215,3
