,sec,per_order_profit
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.1828263084747012
65,65,0.3535447936925483
66,66,0.50666038725589
67,67,0.6447621760098164
68,68,0.7699552293609824
69,69,1.01745510509566
70,70,1.0633272805859144
71,71,1.053282120134434
72,72,0.9138347496903688
73,73,0.816247573307295
74,74,0.6404742594924279
75,75,0.6231465410234631
76,76,0.6130723533613921
77,77,0.6480367340158115
78,78,0.6670681193738363
79,79,0.668235924709736
80,80,0.6833077577390823
81,81,0.6876551229726512
82,82,0.7012316080516442
83,83,0.7143524877316102
84,84,0.7057955331209921
85,85,0.6785856572494405
86,86,0.6690919271309667
87,87,0.6179634368809613
88,88,0.5726979031334771
89,89,0.5018505599861514
90,90,0.47120152805361754
91,91,0.42388784612233704
92,92,0.366583504245365
93,93,0.34605906301165457
94,94,0.32756255999865674
95,95,0.3112242303518926
96,96,0.3248710023771342
97,97,0.34727439270809785
98,98,0.36909712733204014
99,99,0.3903614917806236
100,100,0.3788895395518588
101,101,0.38942855263465154
102,102,0.3846582210267015
103,103,0.36293484177935503
104,104,0.35612885742825934
105,105,0.3577502725549762
106,106,0.3489104077797981
107,107,0.35543011020259346
108,108,0.33315505758964065
109,109,0.3095460238203612
110,110,0.2883488432764324
111,111,0.26973915867696524
112,112,0.25555603020097595
113,113,0.23758341840374622
114,114,0.22191969407845932
115,115,0.2094387251628389
116,116,0.18559189747289523
117,117,0.1593412635639622
118,118,0.13644496318102883
119,119,0.11281488405638015
120,120,0.0933502757455856
121,121,0.07399549447993765
122,122,0.05589684506005492
123,123,0.04102598413902679
124,124,0.02620023738104895
125,125,0.01239910867547927
126,126,-0.0037501560435966373
127,127,-0.018841331478674412
128,128,-0.032404760084073114
129,129,-0.04687516559481592
130,130,-0.06095265951978344
131,131,-0.07381711007332774
132,132,-0.08744303292273141
133,133,-0.09940221904427063
134,134,-0.1099156085419608
135,135,-0.12172311729046657
136,136,-0.13090840824300756
137,137,-0.13251998545624827
138,138,-0.13424225207396376
139,139,-0.13599060985772038
140,140,-0.13859877398258152
141,141,-0.14025191479259028
142,142,-0.14146434294618498
143,143,-0.1426922692252189
144,144,-0.14368829218200732
145,145,-0.1451868129488065
146,146,-0.14643442552016694
147,147,-0.14790985199365075
148,148,-0.15117355969421728
149,149,-0.1546465921688531
150,150,-0.15124756246586518
151,151,-0.1469436227682819
152,152,-0.14325236479066886
153,153,-0.138780918848754
154,154,-0.13407086978697483
155,155,-0.13019352551262903
156,156,-0.1257362957048945
157,157,-0.11930096957605676
158,158,-0.1138920662557407
159,159,-0.10738109377779984
160,160,-0.10144323258981
161,161,-0.09638324557612844
162,162,-0.09081049375623257
163,163,-0.08572616052748383
164,164,-0.0810823826174212
165,165,-0.0759599942749688
166,166,-0.0713339050977869
167,167,-0.0704344936737462
168,168,-0.06999284418355019
169,169,-0.06815046068361223
170,170,-0.06492539021048227
171,171,-0.06191029387152682
172,172,-0.058238589089381614
173,173,-0.054691466462448185
174,174,-0.05118720927991325
175,175,-0.04938068976999384
176,176,-0.048774192130568716
177,177,-0.04818039628611046
178,178,-0.05165924929806176
179,179,-0.05531399518771466
180,180,-0.058949392877448895
181,181,-0.06340584353124895
182,182,-0.06779963496298641
183,183,-0.07222009946816609
184,184,-0.07582816457777636
185,185,-0.08010419214069922
186,186,-0.08424838035822757
187,187,-0.08527957693836412
188,188,-0.0858160745726081
189,189,-0.08583299195150898
190,190,-0.08693302834644566
191,191,-0.08776327064644103
192,192,-0.08854247821347033
193,193,-0.08993687984716486
194,194,-0.09113637297146955
195,195,-0.09428071222709834
196,196,-0.0961041117330481
197,197,-0.09207534587195505
198,198,-0.08884583745498738
199,199,-0.08734632020322368
200,200,-0.08608900171412089
201,201,-0.08204818363526431
202,202,-0.07837146450331392
203,203,-0.07392450987883391
204,204,-0.06972249137425647
205,205,-0.06786697710846344
206,206,-0.06650392195558065
207,207,-0.06600189338491007
208,208,-0.06688785821845937
209,209,-0.06726842999509432
210,210,-0.06854800597367823
211,211,-0.0682439563526431
212,212,-0.06787404063752032
213,213,-0.06855782825220749
214,214,-0.06954891200543256
215,215,-0.07032517538931933
216,216,-0.06991609681495603
217,217,-0.0641979447016255
218,218,-0.061548943036248936
219,219,-0.05676724918357476
220,220,-0.052079253105869056
221,221,-0.047550036156256296
222,222,-0.043436611313735884
223,223,-0.039440805164207206
224,224,-0.0348885960872305
225,225,-0.02994260586742235
226,226,-0.026940400391818657
227,227,-0.02382625360111556
228,228,-0.020173401453562834
229,229,-0.014731977586472057
230,230,-0.007803749208539161
