,datetime,instrument,id,direction,price,volume,isover,status,cash_flow,,,,cum_profit,,,
55,2018/3/22 9:30,Future,IH1805,-1,2891000,1,TRUE,Deal,2891000,5000,1,5000,159400,,,
56,2018/3/22 9:59,ETF,510050,1,2878,1000,TRUE,Deal,-2878000,13000,0,0,159400,,,
57,2018/3/22 9:59,Future,IH1805,-1,2883200,1,TRUE,Deal,2883200,5200,1,5200,164600,,,
58,2018/3/22 14:49,ETF,510050,-1,2859,1000,TRUE,Deal,2859000,5742200,0,0,164600,,,
59,2018/3/22 14:49,Future,IH1805,1,2858400,1,TRUE,Deal,-2858400,600,1,600,165200,,,
60,2018/3/23 9:30,ETF,510050,-1,2779,1000,TRUE,Deal,2779000,-79400,0,0,165200,,,
61,2018/3/23 9:30,Future,IH1805,1,2784600,1,TRUE,Deal,-2784600,-5600,1,-5600,159600,,,
62,2018/4/4 9:30,ETF,510050,1,2703,1000,TRUE,Deal,-2703000,-5487600,0,0,159600,,,
63,2018/4/4 9:30,Future,IH1805,-1,2703800,1,TRUE,Deal,2703800,800,1,800,160400,,,
64,2018/4/4 9:30,ETF,510050,1,2704,1000,TRUE,Deal,-2704000,-200,0,0,160400,,,
65,2018/4/4 9:30,Future,IH1805,-1,2705000,1,TRUE,Deal,2705000,1000,1,1000,161400,,,
66,2018/4/4 14:45,ETF,510050,-1,2697,1000,TRUE,Deal,2697000,5402000,0,0,161400,,,
67,2018/4/4 14:45,Future,IH1805,1,2694600,1,TRUE,Deal,-2694600,2400,1,2400,163800,,,
68,2018/4/4 14:45,ETF,510050,-1,2697,1000,TRUE,Deal,2697000,2400,0,0,163800,,,
69,2018/4/4 14:45,Future,IH1805,1,2693400,1,TRUE,Deal,-2693400,3600,1,3600,167400,,,
70,2018/4/9 9:33,ETF,510050,1,2707,1000,TRUE,Deal,-2707000,-5400400,0,0,167400,,,
71,2018/4/9 9:33,Future,IH1805,-1,2713200,1,TRUE,Deal,2713200,6200,1,6200,173600,,,
72,2018/4/9 9:33,ETF,510050,1,2707,1000,TRUE,Deal,-2707000,6200,0,0,173600,,,
73,2018/4/9 9:33,Future,IH1805,-1,2713400,1,TRUE,Deal,2713400,6400,1,6400,180000,,,
74,2018/4/16 9:30,ETF,510050,-1,2715,1000,TRUE,Deal,2715000,5428400,0,0,180000,,,
75,2018/4/16 9:30,Future,IH1805,1,2714600,1,TRUE,Deal,-2714600,400,1,400,180400,,,
76,2018/4/16 9:49,ETF,510050,1,2697,1000,TRUE,Deal,-2697000,-5411600,0,0,180400,,,
77,2018/4/16 9:49,Future,IH1805,-1,2704200,1,TRUE,Deal,2704200,7200,1,7200,187600,,,
78,2018/4/17 9:30,ETF,510050,-1,2662,1000,TRUE,Deal,2662000,5366200,0,0,187600,,,
79,2018/4/17 9:30,Future,IH1805,1,2668600,1,TRUE,Deal,-2668600,-6600,1,-6600,181000,,,
80,2018/4/17 9:30,ETF,510050,-1,2662,1000,TRUE,Deal,2662000,-6600,0,0,181000,,,
81,2018/4/17 9:30,Future,IH1805,1,2668600,1,TRUE,Deal,-2668600,-6600,1,-6600,174400,,,
82,2018/4/17 9:46,ETF,510050,1,2649,1000,TRUE,Deal,-2649000,-5317600,0,0,174400,,,
83,2018/4/17 9:46,Future,IH1805,-1,2655600,1,TRUE,Deal,2655600,6600,1,6600,181000,,,
84,2018/4/17 10:02,ETF,510050,1,2647,1000,TRUE,Deal,-2647000,8600,0,0,181000,,,
85,2018/4/17 10:02,Future,IH1805,-1,2651800,1,TRUE,Deal,2651800,4800,1,4800,185800,,,
86,2018/4/20 14:37,ETF,510050,-1,2644,1000,TRUE,Deal,2644000,5295800,0,0,185800,,,
87,2018/4/20 14:37,Future,IH1805,1,2645800,1,TRUE,Deal,-2645800,-1800,1,-1800,184000,,,
88,2018/4/20 14:37,ETF,510050,-1,2644,1000,TRUE,Deal,2644000,-1800,0,0,184000,,,
89,2018/4/20 14:37,Future,IH1805,1,2645400,1,TRUE,Deal,-2645400,-1400,1,-1400,182600,,,
