,optionCode,callorput,maturityDate,multi,netPositionToday,deltaToday,gammaToday,vegaToday,thetaToday,closingPriceTodayUnderlyer,volToday,deltaNotionalToday,deltaSensOfVolToday,vegaNotionalToday,gammaNotionalToday,thetaNotionalToday,rohToday,robToday,rhoNotionalToday,robNotionalToday,brBase,BR,RF,StrategyID
58,10001094.0,0.0,737056.0,10000.0,4.0,-0.817772,1.6558,0.00198417,-0.278799,2.8458,0.209992,-32710.88,1.2106054646188191,79.3668,66232.0,-11151.960000000001,-0.393589,-0.238371,-43.13304109589041,-26.122849315068493,0.0704624,0.0249202,0.03,7.0
59,10001097.0,1.0,737084.0,10000.0,14.0,0.426979,1.90937,0.00426324,-0.299709,2.8458,0.189007,59777.06,0.5315665351957044,596.8535999999999,267311.80000000005,-41959.26,-0.25544,-0.443382,-97.97698630136986,-170.06432876712327,0.14587,0.0,0.020385,7.0
60,10001098.0,1.0,737084.0,10000.0,-23.0,0.341609,1.74054,0.00398966,-0.284227,2.8458,0.194034,-78570.07,0.9117999683494471,-917.6218,-400324.2,65372.21000000001,-0.265897,-0.42485,167.55153424657533,267.713698630137,0.14587,0.0,0.020385,7.0
61,10001099.0,1.0,737084.0,10000.0,-86.0,0.269822,1.51981,0.00359258,-0.261356,2.8458,0.200098,-232046.92,1.1390015105916529,-3089.6188,-1307036.6,224766.15999999997,-0.263403,-0.395318,620.6207671232877,931.4341917808221,0.14587,0.0,0.020385,7.0
62,10001104.0,0.0,737084.0,10000.0,13.0,-0.730178,1.51981,0.00359258,-0.200383,2.8458,0.200098,-94923.14,1.1390015105916529,467.03540000000004,197575.30000000002,-26049.79,-0.699709,-0.416511,-249.21142465753428,-148.34638356164385,0.14587,0.0,0.020385,7.0
63,10001096.0,1.0,737084.0,10000.0,-2.0,0.522553,1.97782,0.00432914,-0.303581,2.8458,0.185285,-10451.060000000001,0.030557222000515694,-86.5828,-39556.4,6071.62,-0.230777,-0.448838,12.64531506849315,24.59386301369863,0.14587,0.0,0.020385,7.0
64,10001110.0,0.0,737147.0,10000.0,-10.0,-0.380783,1.26064,0.00605753,-0.14565,2.8458,0.190086,38078.3,-0.39504485897623454,-605.7529999999999,-126064.0,14565.000000000002,-1.0041,-0.651192,275.09589041095893,178.40876712328767,0.312138,0.0,0.0331892,7.0
65,10000894.0,0.0,737056.0,10185.0,0.0,-0.0675439,0.309729,0.000986329,-0.389201,2.8458,0.558049,0.0,-0.3147595061481212,0.0,0.0,0.0,-0.00192368,-0.00178751,0.0,0.0,0.0704624,0.0249202,0.03,6.0
66,10000887.0,1.0,737056.0,10185.0,60.0,0.929163,0.255921,0.00100362,-0.483237,2.8458,0.687217,567811.5093,-0.25118961753722857,613.312182,156393.3231,-295306.13070000004,0.155134,-0.0450246,259.7325682191781,-75.38228235616438,0.0704624,0.0249202,0.03,6.0
67,10000892.0,0.0,737056.0,10185.0,-50.0,-0.0690824,0.255921,0.00100362,-0.487901,2.8458,0.687217,35180.2122,-0.25118961753722857,-511.093485,-130327.76925000001,248463.58424999999,-0.000188801,-0.000177337,0.2634161897260274,0.24742155410958905,0.0704624,0.0249202,0.03,6.0
68,10000889.0,1.0,737056.0,10185.0,0.0,0.930702,0.309729,0.000986329,-0.387471,2.8458,0.558049,0.0,-0.3147595061481212,0.0,0.0,0.0,0.16029,-0.0397441,0.0,0.0,0.0704624,0.0249202,0.03,6.0
69,10001071.0,1.0,737238.0,10185.0,0.0,0.262827,0.757399,0.00691538,-0.15395,2.8458,0.20312,0.0,1.2617272298287574,0.0,0.0,0.0,-0.310251,-0.806464,0.0,0.0,0.555048,0.0,0.0400664,6.0
70,10001008.0,0.0,737056.0,10185.0,220.0,-0.489974,2.88053,0.00300757,-0.381749,2.8458,0.182969,-1097884.7418,0.05569238809011168,6739.062099000001,6454403.5709999995,-855384.9843,-0.403493,-0.305984,-2477.004835890411,-1878.4064350684932,0.0704624,0.0249202,0.03,6.0
71,10000915.0,1.0,737056.0,10185.0,34.0,0.923822,0.538066,0.00106261,-0.263771,2.8458,0.346076,319910.32038,-0.5490459750057131,367.9712169,186326.87514000002,-91341.25959,0.127561,-0.0676923,121.02218819178084,-64.22237415616438,0.0704624,0.0249202,0.03,6.0
72,10000890.0,1.0,737056.0,10185.0,0.0,0.930795,0.345824,0.000985273,-0.347471,2.8458,0.499269,0.0,-0.3557043615809441,0.0,0.0,0.0,0.160578,-0.0392016,0.0,0.0,0.0704624,0.0249202,0.03,6.0
73,10001009.0,1.0,737147.0,10185.0,0.0,0.558472,1.31912,0.00627464,-0.237455,2.8458,0.18817,0.0,-0.08791198940372169,0.0,0.0,0.0,-0.187779,-0.681728,0.0,0.0,0.312138,0.0,0.0331892,6.0
74,10000891.0,1.0,737056.0,10185.0,-30.0,0.930076,0.391715,0.000993381,-0.313162,2.8458,0.444404,-284184.7218,-0.4055912725164923,-303.52756455,-119688.51825000001,95686.6491,0.157156,-0.0420123,-131.55894739726025,35.16947469863014,0.0704624,0.0249202,0.03,6.0
75,10000895.0,0.0,737056.0,10185.0,0.0,-0.0674504,0.345824,0.000985273,-0.347734,2.8458,0.499269,0.0,-0.3557043615809441,0.0,0.0,0.0,-0.00508095,-0.00469042,0.0,0.0,0.0704624,0.0249202,0.03,6.0
