,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price
0,2017-01-03,2017-01-03 14:56:00,2.3088,10000826,0.0052624,0.0052,0.0053,0.164653,0.16408,0.164996,-0.113643,0.00109263,2.05597,-0.149374,-0.1927,-0.163641,0.04,0.0439111,0.0605499,-0.148974,-1.49803,2.2,-0.780817,0,20170125,2.3075
1,2017-01-04,2017-01-04 14:56:04,2.3241,10000826,0.00336004,0.0034,0.0035,0.162143,0.16262100000000002,0.16380799999999998,-0.0806051,0.0008323919999999999,1.65345,-0.121313,-0.168823,-0.145202,0.04,0.0616061,0.0574816,-0.121353,-1.78164,2.2,-0.894812,0,20170125,2.3235
2,2017-01-05,2017-01-05 14:56:06,2.3225,10000826,0.0029366,0.0029,0.0031,0.15948099999999998,0.159001,0.161591,-0.0747762,0.0007643639999999999,1.63357,-0.116238,-0.161703,-0.139714,0.04,0.0647505,0.0543928,-0.11739,-1.92514,2.2,-0.906269,0,20170125,2.3225
3,2017-01-06,2017-01-06 14:56:03,2.3153,10000826,0.00293135,0.003,0.0031,0.15768,0.158577,0.159867,-0.07750900000000001,0.000760623,1.75397,-0.120229,-0.159532,-0.138152,0.04,0.0592881,0.051304599999999985,-0.120873,-2.02623,2.2,-0.8846129999999999,0,20170125,2.3135
4,2017-01-09,2017-01-09 14:56:18,2.3234,10000826,0.00138655,0.0014,0.0015,0.14991600000000002,0.150203,0.152293,-0.0453056,0.000466825,1.29613,-0.0823716,-0.130578,-0.114991,0.04,0.0761177,0.0445051,-0.0879684,-2.51617,2.2,-1.00429,0,20170125,2.3195
5,2017-01-10,2017-01-10 14:56:01,2.3176,10000826,0.00149015,0.0015,0.0017,0.149149,0.149351,0.153309,-0.0500701,0.000486572,1.46641,-0.095091,-0.129727,-0.114481,0.04,0.105002,0.041418300000000005,-0.0963234,-2.85116,2.2,-0.970592,0,20170125,2.3135
6,2017-01-11,2017-01-11 14:56:03,2.3095,10000826,0.00167945,0.0017,0.0019,0.15109,0.15148699999999998,0.155224,-0.0569141,0.000516321,1.67153,-0.109565,-0.12725899999999998,-0.112627,0.04,0.0998681,0.0383296,-0.104476,-3.07099,2.2,-0.945531,0,20170125,2.3035
7,2017-01-12,2017-01-12 14:56:15,2.3008,10000826,0.00194935,0.0019,0.002,0.152246,0.151357,0.153146,-0.0667843,0.0005587740000000001,1.96743,-0.13104100000000002,-0.126319,-0.11203699999999997,0.04,0.107791,0.0352398,-0.116704,-3.38403,2.2,-0.903685,0,20170125,2.2965
8,2017-01-13,2017-01-13 14:56:10,2.3147,10000826,0.00118989,0.0011,0.0013,0.15692,0.154544,0.159698,-0.0440999,0.000386714,1.43059,-0.10482,-0.102299,-0.0919696,0.04,0.142841,0.0321517,-0.0986253,-3.88987,2.2,-1.05998,0,20170125,2.3095
9,2017-01-16,2017-01-16 14:56:16,2.3323,10000826,0.00104046,0.001,0.0011,0.198541,0.197121,0.200574,-0.035205300000000016,0.000288192,1.05252,-0.118436,-0.0565918,-0.0522047,0.04,0.108642,0.0253532,-0.0737547,-4.0271,2.2,-1.4233,0,20170125,2.3365
