,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
0,2017-12-01,0.0073,0.0140514,-0.0,0.00012875384615384616,-19.0,-0.1258302769230769,-0.1258302769230769
1,2017-12-04,0.0025,0.00742051,-0.0,6.587932692307692e-05,0.0,0.0,-0.1258302769230769
2,2017-12-04,0.0025,0.00742051,-0.0,6.587932692307692e-05,0.0,0.0,-0.1258302769230769
3,2017-12-05,0.0085,0.00465518,-0.0,0.00014362692307692308,-95.6571,0.38152326616546156,0.25569298924238465
4,2017-12-05,0.0049,0.00257449,-0.0,9.720673076923078e-05,-95.6571,0.23175005658686534,0.48744304582925
5,2017-12-05,0.0049,0.00257449,-0.0,9.720673076923078e-05,-95.6571,0.23175005658686534,0.7191931024161153
6,2017-12-06,0.0114,0.00846095,-0.0,0.00017175576923076925,-112.6554,0.35044906825500005,1.0696421706711154
7,2017-12-06,0.0114,0.00846095,-0.0,0.00017175576923076925,-112.6554,0.35044906825500005,1.4200912389261156
8,2017-12-06,0.0055,0.00481112,-0.0,0.00011264519230769232,-112.6554,0.09029614114949992,1.5103873800756156
9,2017-12-07,0.0025,0.00572071,-0.0,6.732288461538462e-05,-31.6635,-0.09984727292798078,1.410540107147635
10,2017-12-07,0.0055,0.0115414,-0.0,0.00011751634615384616,-31.6635,-0.1875708900735577,1.2229692170740771
11,2017-12-07,0.0055,0.0115414,-0.0,0.00011751634615384616,-31.6635,-0.1875708900735577,1.0353983270005194
12,2017-12-08,0.0012,0.00249356,-0.0,3.770115384615385e-05,-13.332,-0.01674311013692308,1.0186552168635963
13,2017-12-08,0.0012,0.00249356,-0.0,3.770115384615385e-05,-13.332,-0.01674311013692308,1.0019121067266732
14,2017-12-08,0.0022,0.00552653,-0.0,6.41948076923077e-05,-13.332,-0.04349345278384616,0.958418653942827
15,2017-12-11,0.005,0.00224223,-0.0,0.00010627692307692308,-8.9991,0.02577384466546154,0.9841924986082885
16,2017-12-11,0.0015,0.00119545,-0.0,5.837586538461539e-05,-8.9991,0.0032660061551826923,0.9874585047634712
17,2017-12-11,0.0015,0.00119545,-0.0,5.837586538461539e-05,-8.9991,0.0032660061551826923,0.9907245109186539
18,2017-12-12,0.0013,0.00214072,-0.0,3.67875e-05,-122.9877,-0.09887380913025001,0.8918507017884039
