,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
0,2017-12-01,0.0073,0.0140514,-0.0005922655384615385,0.00038626153846153837,-19.0,-0.132190676,-0.132190676
1,2017-12-04,0.0025,0.00742051,-0.00024959903307692307,0.00019763798076923077,0.0,0.0,-0.132190676
2,2017-12-04,0.0025,0.00742051,-0.00024959903307692307,0.00019763798076923077,0.0,0.0,-0.132190676
3,2017-12-05,0.0085,0.00465518,-0.0007388864346153848,0.00043088076923076916,-95.6571,0.33832140248773734,0.20613072648773734
4,2017-12-05,0.0049,0.00257449,-0.00043129638307692317,0.0002916201923076923,-95.6571,0.2090905232729686,0.41522124976070596
5,2017-12-05,0.0049,0.00257449,-0.00043129638307692317,0.0002916201923076923,-95.6571,0.2090905232729686,0.6243117730336746
6,2017-12-06,0.0114,0.00846095,-0.0010321062423076924,0.0005152673076923076,-112.6554,0.27287515645533006,0.8971869294890047
7,2017-12-06,0.0114,0.00846095,-0.0010321062423076924,0.0005152673076923076,-112.6554,0.27287515645533006,1.1700620859443347
8,2017-12-06,0.0055,0.00481112,-0.0005545894038461539,0.00033793557692307684,-112.6554,0.05319882841844992,1.2232609143627846
9,2017-12-07,0.0025,0.00572071,-0.0002899462984615385,0.00020196865384615383,-31.6635,-0.10476463123527925,1.1184962831275054
10,2017-12-07,0.0055,0.0115414,-0.0006039888346153848,0.00035254903846153844,-31.6635,-0.19925333288551733,0.9192429502419881
11,2017-12-07,0.0055,0.0115414,-0.0006039888346153848,0.00035254903846153844,-31.6635,-0.19925333288551733,0.7199896173564708
12,2017-12-08,0.0012,0.00249356,-0.00015321902884615386,0.00011310346153846152,-13.332,-0.017780562663346156,0.7022090546931247
13,2017-12-08,0.0012,0.00249356,-0.00015321902884615386,0.00011310346153846152,-13.332,-0.017780562663346156,0.6844284920297785
14,2017-12-08,0.0022,0.00552653,-0.00029464990692307697,0.00019258442307692303,-13.332,-0.04571003499063693,0.6387184570391415
15,2017-12-11,0.005,0.00224223,-0.0006141237423076924,0.0003188307692307692,-8.9991,0.022160077012983462,0.660878534052125
16,2017-12-11,0.0015,0.00119545,-0.0002791710888461539,0.00017512759615384614,-8.9991,0.0018043781099126533,0.6626829121620377
17,2017-12-11,0.0015,0.00119545,-0.0002791710888461539,0.00017512759615384614,-8.9991,0.0018043781099126533,0.6644872902719503
18,2017-12-12,0.0013,0.00214072,-0.00016434104576923078,0.00011036249999999998,-122.9877,-0.11003691633750244,0.5544503739344478
19,2017-12-12,0.0028,0.0049513000000000005,-0.0003902549534615385,0.00022075442307692306,-122.9877,-0.28542991939078405,0.2690204545436638
20,2017-12-12,0.0013,0.00214072,-0.00016434104576923078,0.00011036249999999998,-122.9877,-0.11003691633750244,0.15898353820616135
