,date,timestamp,spot_price,id,OptionPrice,BidPrice,AskPrice,Sigma,BidSigma,AskSigma,Delta,Vega,Gamma,Theta,Rho,RhoB,Risk_free_rate,Borrow_rate,time2expiry,Delta_time_decay,Delta_time,strike,Z,type,expiry,etf_price,tomorrow_bid1,tomorrow_delta,tomorrow_delta_cost,tomorrow_vega,tomorrow_vega_cost,volume
0,2017-12-01,2017-12-01 14:56:13,2.8426,10000960,0.0140514,0.0141,0.0146,0.207184,0.20744400000000002,0.21009499999999998,-0.16511800000000001,0.0018732,1.58742,-0.271433,-0.258395,-0.216979,0.03,0.0226613,0.07048650000000001,-0.19900199999999998,-1.17753,2.7,-0.783216,0,20171227,2.8355,0.0073,-0.10776,-0.0,0.00133904,0.00012875384615384616,-19.0
1,2017-12-04,2017-12-04 14:56:11,2.8655,10000960,0.00742051,0.0073,0.0074,0.193901,0.192998,0.193748,-0.10776,0.00133904,1.32057,-0.20430399999999999,-0.210588,-0.180472,0.03,0.032216800000000004,0.0636871,-0.144803,-1.5223799999999998,2.7,-0.9407059999999999,0,20171227,2.8575,0.0025,-0.0454134,-0.0,0.000685145,6.587932692307692e-05,0.0
2,2017-12-04,2017-12-04 14:56:11,2.8655,10000960,0.00742051,0.0073,0.0074,0.193901,0.192998,0.193748,-0.10776,0.00133904,1.32057,-0.20430399999999999,-0.210588,-0.180472,0.03,0.032216800000000004,0.0636871,-0.144803,-1.5223799999999998,2.7,-0.9407059999999999,0,20171227,2.8575,0.0025,-0.0454134,-0.0,0.000685145,6.587932692307692e-05,0.0
3,2017-12-05,2017-12-05 14:56:04,2.9155,10001126,0.00465518,0.0048,0.0049,0.174035,0.175374,0.176288,-0.08067139999999999,0.00107342,1.19743,-0.151608,-0.204423,-0.176033,0.03,0.0198257,0.0605976,-0.118057,-1.5842399999999999,2.75,-0.959627,0,20171227,2.9135,0.0085,-0.134437,-0.0,0.00149372,0.00014362692307692308,-95.6571
4,2017-12-05,2017-12-05 14:56:04,2.9155,10000960,0.00257449,0.0025,0.0026,0.1886,0.187504,0.188972,-0.0454134,0.000685145,0.705275,-0.10519500000000001,-0.142567,-0.125154,0.03,0.0198257,0.0605976,-0.08212330000000001,-1.55559,2.7,-1.25779,0,20171227,2.9135,0.0049,-0.0784724,-0.0,0.00101095,9.720673076923078e-05,-95.6571
5,2017-12-05,2017-12-05 14:56:04,2.9155,10000960,0.00257449,0.0025,0.0026,0.1886,0.187504,0.188972,-0.0454134,0.000685145,0.705275,-0.10519500000000001,-0.142567,-0.125154,0.03,0.0198257,0.0605976,-0.08212330000000001,-1.55559,2.7,-1.25779,0,20171227,2.9135,0.0049,-0.0784724,-0.0,0.00101095,9.720673076923078e-05,-95.6571
6,2017-12-06,2017-12-06 14:56:01,2.8782,10001126,0.00846095,0.0085,0.0086,0.177251,0.17751199999999998,0.178179,-0.134437,0.00149372,1.7689400000000002,-0.226597,-0.23627399999999998,-0.201185,0.03,0.0213534,0.0575076,-0.169495,-1.53331,2.75,-0.768306,0,20171227,2.8725,0.0114,-0.187787,-0.0,0.00178626,0.00017175576923076925,-112.6554
7,2017-12-06,2017-12-06 14:56:01,2.8782,10001126,0.00846095,0.0085,0.0086,0.177251,0.17751199999999998,0.178179,-0.134437,0.00149372,1.7689400000000002,-0.226597,-0.23627399999999998,-0.201185,0.03,0.0213534,0.0575076,-0.169495,-1.53331,2.75,-0.768306,0,20171227,2.8725,0.0114,-0.187787,-0.0,0.00178626,0.00017175576923076925,-112.6554
8,2017-12-06,2017-12-06 14:56:01,2.8782,10000960,0.00481112,0.0049,0.005,0.19300699999999998,0.193882,0.194858,-0.0784724,0.00101095,1.09948,-0.167549,-0.172373,-0.150119,0.03,0.0213534,0.0575076,-0.11785699999999999,-1.7225,2.7,-1.07437,0,20171227,2.8725,0.0055,-0.100905,-0.0,0.00117151,0.00011264519230769232,-112.6554
9,2017-12-07,2017-12-07 14:56:11,2.8443,10000960,0.00572071,0.0055,0.0057,0.176995,0.175095,0.176818,-0.100905,0.00117151,1.5035,-0.19172999999999998,-0.202021,-0.174314,0.03,0.034806800000000006,0.0544163,-0.141454,-1.83237,2.7,-0.8882909999999999,0,20171227,2.8395,0.0025,-0.0527544,-0.0,0.000700158,6.732288461538462e-05,-31.6635
