,date,tomorrow_bid1,OptionPrice,tomorrow_delta_cost,tomorrow_vega_cost,volume,profit,cum_profit
0,2017-12-01,0.0073,0.0140514,-0.0,-2.575076923076923e-07,-19.0,-0.12828149264615385,-0.12828149264615385
1,2017-12-04,0.0025,0.00742051,-0.0,-1.3175865384615385e-07,0.0,0.0,-0.12828149264615385
2,2017-12-04,0.0025,0.00742051,-0.0,-1.3175865384615385e-07,0.0,0.0,-0.12828149264615385
3,2017-12-05,0.0085,0.00465518,-0.0,-2.8725384615384623e-07,-200.9,0.7723666287023078,0.6440851360561539
4,2017-12-05,0.0049,0.00257449,-0.0,-1.9441346153846158e-07,-43.05,0.10010483600048077,0.7441899720566347
5,2017-12-05,0.0049,0.00257449,-0.0,-1.9441346153846158e-07,-43.05,0.10010483600048077,0.8442948080571155
6,2017-12-06,0.0114,0.00846095,-0.0,-3.435115384615385e-07,-236.6,0.69529795517,1.5395927632271156
7,2017-12-06,0.0114,0.00846095,-0.0,-3.435115384615385e-07,-50.7,0.148992418965,1.6885851821921156
8,2017-12-06,0.0055,0.00481112,-0.0,-2.2529038461538462e-07,-50.7,0.03491479377749997,1.7234999759696157
9,2017-12-07,0.0025,0.00572071,-0.0,-1.3464576923076927e-07,-66.5,-0.21418616894365386,1.5093138070259617
10,2017-12-07,0.0055,0.0115414,-0.0,-2.3503269230769235e-07,-14.25,-0.0860932992158654,1.4232205078100963
11,2017-12-07,0.0055,0.0115414,-0.0,-2.3503269230769235e-07,-14.25,-0.0860932992158654,1.337127208594231
12,2017-12-08,0.0012,0.00249356,-0.0,-7.540230769230769e-08,-28.0,-0.036221791264615395,1.3009054173296155
13,2017-12-08,0.0012,0.00249356,-0.0,-7.540230769230769e-08,-6.0,-0.007761812413846155,1.2931436049157694
14,2017-12-08,0.0022,0.00552653,-0.0,-1.283896153846154e-07,-6.0,-0.019959950337692305,1.273183654578077
15,2017-12-11,0.005,0.00224223,-0.0,-2.1255384615384615e-07,-18.9,0.052117835732307695,1.3253014903103848
16,2017-12-11,0.0015,0.00119545,-0.0,-1.167517307692308e-07,-4.05,0.0012329546554903845,1.3265344449658751
17,2017-12-11,0.0015,0.00119545,-0.0,-1.167517307692308e-07,-4.05,0.0012329546554903845,1.3277673996213655
18,2017-12-12,0.0013,0.00214072,-0.0,-7.357500000000001e-08,-258.3,-0.21717698042250005,1.1105904191988654
19,2017-12-12,0.0028,0.0049513000000000005,-0.0,-1.471696153846154e-07,-55.35,-0.11908260083821157,0.9915078183606538
20,2017-12-12,0.0013,0.00214072,-0.0,-7.357500000000001e-08,-55.35,-0.04653792437625001,0.9449698939844038
21,2017-12-13,0.0033,0.00287089,-0.0,-1.6259961538461542e-07,-320.6,0.13752053656330768,1.0824904305477114
22,2017-12-13,0.0013,0.00115365,-0.0,-7.934250000000001e-08,-68.7,0.010048794170249996,1.0925392247179615
23,2017-12-13,0.0033,0.00287089,-0.0,-1.6259961538461542e-07,-68.7,0.02946868640642307,1.1220079111243846
24,2017-12-14,0.0015,0.00125371,-0.0,-1.0972884615384617e-07,-280.7,0.06910280211288466,1.1911107132372694
25,2017-12-14,0.0058,0.00326975,-0.0,-2.25025e-07,-60.15,0.15218100224624997,1.3432917154835193
26,2017-12-14,0.0015,0.00125371,-0.0,-1.0972884615384617e-07,-60.15,0.014807743309903856,1.3580994587934232
27,2017-12-15,0.0009,0.0019771,-0.0,-6.808788461538463e-08,-179.2,-0.19302852134892304,1.1650709374445
28,2017-12-15,0.0009,0.0019771,-0.0,-6.808788461538463e-08,-38.4,-0.04136325457476923,1.1237076828697308
29,2017-12-15,0.0031,0.00582293,-0.0,-1.5405115384615387e-07,-38.4,-0.10456642756430767,1.019141255305423
30,2017-12-18,0.0004,0.00109772,-0.0,-3.3724230769230766e-08,-46.2,-0.032236222059461535,0.9869050332459616
31,2017-12-18,0.0004,0.00109772,-0.0,-3.3724230769230766e-08,-9.9,-0.006907761869884615,0.979997271376077
32,2017-12-18,0.0004,0.00109772,-0.0,-3.3724230769230766e-08,-9.9,-0.006907761869884615,0.9730895095061923
33,2017-12-19,0.0008,0.00113151,-0.0,-5.174403846153848e-08,0.0,0.0,0.9730895095061923
34,2017-12-19,0.0002,0.000500175,-0.0,-2.2825769230769234e-08,0.0,0.0,0.9730895095061923
35,2017-12-19,0.0002,0.000500175,-0.0,-2.2825769230769234e-08,0.0,0.0,0.9730895095061923
36,2017-12-20,0.0005,0.000785847,-0.0,-3.1972500000000004e-08,-98.7,-0.02821625458575,0.9448732549204424
37,2017-12-20,0.0005,0.000785847,-0.0,-3.1972500000000004e-08,-21.15,-0.006046340268375,0.9388269146520674
38,2017-12-20,0.0003,0.000312651,-0.0,-1.9631730769230767e-08,-21.15,-0.00026798386110576976,0.9385589307909615
39,2017-12-21,0.0003,0.0004883730000000001,-0.0,-2.5874423076923082e-08,-305.9,-0.057631215686019255,0.8809277151049423
40,2017-12-21,0.0003,0.0004883730000000001,-0.0,-2.5874423076923082e-08,-65.55,-0.012349546218432698,0.8685781688865096
41,2017-12-21,0.0003,0.0004883730000000001,-0.0,-2.5874423076923082e-08,-65.55,-0.012349546218432698,0.856228622668077
42,2017-12-22,0.0002,0.000379682,-0.0,-1.0228557692307692e-08,-305.9,-0.054967852715798064,0.8012607699522789
43,2017-12-22,0.0002,0.000379682,-0.0,-1.0228557692307692e-08,-65.55,-0.011778825581956729,0.7894819443703222
44,2017-12-22,0.0002,0.000379682,-0.0,-1.0228557692307692e-08,-65.55,-0.011778825581956729,0.7777031187883654
