date,volume,AskPrice,tomorrowbid1,profit,cum_profit
2018/1/2,-338,0.0021,0.0019,-0.0676,-0.0676
2018/1/3,-295,0.002,0.0015,-0.1475,-0.2151
2018/1/4,-171,0.0017,0.0012,-0.0855,-0.3006
2018/1/5,-613,0.0032,0.0022,-0.613,-0.9136
2018/1/8,-582,0.0024,0.0011,-0.7566,-1.6702
2018/1/9,-672,0.0011,0.0008,-0.2016,-1.8718
2018/1/10,-315,0.002,0.0018,-0.063,-1.9348
2018/1/11,-368,0.002,0.0013,-0.2576,-2.1924
2018/1/12,-429,0.0014,0.001,-0.1716,-2.364
2018/1/15,-642,0.0031,0.0011,-1.284,-3.648
2018/1/16,-667,0.0012,0.0016,0.2668,-3.3812
2018/1/17,-784,0.0017,0.0009,-0.6272,-4.0084
2018/1/18,-825,0.0017,0.002,0.2475,-3.7609
2018/1/19,-944,0.0021,0.0004,-1.6048,-5.3657
2018/1/22,-594,0.001,0.0002,-0.4752,-5.8409
2018/1/23,-101,0.0012,0.0001,-0.1111,-5.952
2018/1/24,-101,0.0001,,-0.0101,-5.9621
2018/1/25,-317,0.0152,0.0077,-2.3775,-8.3396
2018/1/26,-325,0.0078,0.0153,2.4375,-5.9021
2018/1/29,-433,0.0074,0.009,0.6928,-5.2093
2018/1/30,-326,0.0042,0.003,-0.3912,-5.6005
2018/1/31,-304,0.0062,0.0039,-0.6992,-6.2997
2018/2/1,-209,0.0092,0.0074,-0.3762,-6.6759
2018/2/2,-295,0.0076,0.005,-0.767,-7.4429
2018/2/5,-498,0.0051,0.0232,9.0138,1.5709
2018/2/6,-481,0.0132,0.0331,9.5719,11.1428
2018/2/7,-856,0.011,0.0281,14.6376,25.7804
2018/2/8,-731,0.0176,0.0959,57.2373,83.0177
2018/2/9,-320,0.0364,0.0198,-5.312,77.7057
2018/2/12,-222,0.02,0.0094,-2.3532,75.3525
2018/2/13,-268,0.0148,0.0134,-0.3752,74.9773
2018/2/14,-294,0.0137,0.002,-3.4398,71.5375
2018/2/22,-104,0.0078,0.0025,-0.5512,70.9863
2018/2/23,-104,0.0026,0.0008,-0.1872,70.7991
2018/2/26,0,0.001,0.0008,0,70.7991
2018/2/27,-163,0.0046,0,-0.7498,70.0493
2018/2/28,-79,0.0001,,-0.0079,70.0414
2018/3/1,-24,0.0246,0.0284,0.0912,70.1326
2018/3/2,-14,0.0187,0.015,-0.0518,70.0808
2018/3/5,0,0.0153,0.009,0,70.0808
2018/3/6,0,0.0144,0.0181,0,70.0808
2018/3/7,-2,0.0183,0.0122,-0.0122,70.0686
2018/3/8,-24,0.0123,0.0088,-0.084,69.9846
2018/3/9,0,0.0089,0.0079,0,69.9846
2018/3/12,-86,0.008,0.0127,0.4042,70.3888
2018/3/13,-95,0.0128,0.0109,-0.1805,70.2083
2018/3/14,-50,0.0069,0.0037,-0.16,70.0483
2018/3/15,-110,0.0062,0.0091,0.319,70.3673
2018/3/16,-51,0.0053,0.0035,-0.0918,70.2755
2018/3/19,-158,0.0058,0.004,-0.2844,69.9911
2018/3/20,-167,0.0041,0.0053,0.2004,70.1915
2018/3/21,-146,0.0054,0.0039,-0.219,69.9725
2018/3/22,-64,0.0019,0.027,1.6064,71.5789
2018/3/23,-30,0.0156,0.005,-0.318,71.2609
2018/3/26,-7,0.0018,0.0001,-0.0119,71.249
2018/3/27,-135,0.0011,0.0001,-0.135,71.114
2018/3/28,-140,0.0001,,-0.014,71.1
2018/3/29,-28,0.029,0.0306,0.0448,71.1448
2018/3/30,-32,0.0309,0.0321,0.0384,71.1832
2018/4/2,-32,0.0213,0.0205,-0.0256,71.1576
2018/4/3,-32,0.0207,0.0198,-0.0288,71.1288
2018/4/4,-32,0.0199,0.0141,-0.1856,70.9432
2018/4/9,-32,0.0143,0.0048,-0.304,70.6392
2018/4/10,-95,0.0155,0.0151,-0.038,70.6012
2018/4/11,-95,0.0152,0.0199,0.4465,71.0477
2018/4/12,-34,0.0112,0.0137,0.085,71.1327
2018/4/13,-34,0.014,0.0241,0.3434,71.4761
2018/4/16,-20,0.0135,0.0168,0.066,71.5421
2018/4/17,-20,0.0095,0.0042,-0.106,71.4361
2018/4/18,-20,0.0043,0.0007,-0.072,71.3641
2018/4/19,-14,0.0023,0.001,-0.0182,71.3459
2018/4/23,-17,0.0011,0.0001,-0.017,71.3289
2018/4/24,-136,0.0016,0,-0.2176,71.1113
2018/4/25,-136,0.0001,,-0.0136,71.0977
2018/4/26,0,0.0142,0.0151,0,71.0977
2018/4/27,0,0.0152,0.0143,0,71.0977
2018/5/2,0,0.0144,0.013,0,71.0977
2018/5/3,0,0.0131,0.0156,0,71.0977
2018/5/4,0,0.0158,0.0083,0,71.0977
2018/5/7,0,0.0157,0.0081,0,71.0977
2018/5/8,-69,0.0156,0.0128,-0.1932,70.9045
2018/5/9,-38,0.0129,0.0074,-0.209,70.6955
2018/5/10,-92,0.0076,,-0.6992,69.9963
